157.55.39.138 - - [12/Jul/2021:00:00:27 -0400] "GET / HTTP/1.1" 301 586 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
47.74.17.225 - - [12/Jul/2021:00:05:02 -0400] "GET /wp-login.php HTTP/1.1" 200 8044 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"
47.74.17.225 - - [12/Jul/2021:00:05:04 -0400] "POST /wp-login.php HTTP/1.1" 200 8163 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"
47.74.17.225 - - [12/Jul/2021:00:05:05 -0400] "GET /wp-login.php HTTP/1.1" 200 8044 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"
47.74.17.225 - - [12/Jul/2021:00:05:06 -0400] "POST /wp-login.php HTTP/1.1" 200 8145 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"
47.74.17.225 - - [12/Jul/2021:00:05:08 -0400] "POST /xmlrpc.php HTTP/1.1" 200 5817 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"
204.48.19.85 - - [12/Jul/2021:00:12:25 -0400] "POST /wp-cron.php?doing_wp_cron=1626063145.4460949897766113281250 HTTP/1.1" 200 6245 "https://www.nepadesigns.com/wp-cron.php?doing_wp_cron=1626063145.4460949897766113281250" "WordPress/5.7.2; https://www.nepadesigns.com"
82.66.55.247 - - [12/Jul/2021:00:12:24 -0400] "POST /wp-login.php HTTP/1.1" 200 8836 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.167 Safari/537.36"
213.149.103.132 - - [12/Jul/2021:00:24:00 -0400] "GET /wp-login.php HTTP/1.1" 200 8044 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"
213.149.103.132 - - [12/Jul/2021:00:24:01 -0400] "POST /wp-login.php HTTP/1.1" 200 8163 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"
213.149.103.132 - - [12/Jul/2021:00:24:02 -0400] "GET /wp-login.php HTTP/1.1" 200 8044 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"
213.149.103.132 - - [12/Jul/2021:00:24:03 -0400] "POST /wp-login.php HTTP/1.1" 200 8165 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"
213.149.103.132 - - [12/Jul/2021:00:24:04 -0400] "POST /xmlrpc.php HTTP/1.1" 200 5817 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"
217.25.89.48 - - [12/Jul/2021:00:26:29 -0400] "POST /wp-login.php HTTP/1.1" 200 8836 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
107.150.59.246 - - [12/Jul/2021:00:37:18 -0400] "GET /wp-login.php HTTP/1.1" 200 13586 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36"
107.150.59.246 - - [12/Jul/2021:00:37:19 -0400] "POST /wp-login.php HTTP/1.1" 200 8742 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36"
54.38.191.144 - - [12/Jul/2021:00:38:57 -0400] "GET /wp-login.php HTTP/1.1" 200 8044 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"
54.38.191.144 - - [12/Jul/2021:00:38:58 -0400] "POST /wp-login.php HTTP/1.1" 200 8163 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"
54.38.191.144 - - [12/Jul/2021:00:38:59 -0400] "GET /wp-login.php HTTP/1.1" 200 8044 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"
54.38.191.144 - - [12/Jul/2021:00:39:01 -0400] "POST /wp-login.php HTTP/1.1" 200 8165 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"
54.38.191.144 - - [12/Jul/2021:00:39:02 -0400] "POST /xmlrpc.php HTTP/1.1" 200 5817 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"
199.80.55.28 - - [12/Jul/2021:00:40:24 -0400] "POST /wp-login.php HTTP/1.1" 200 8852 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36"
204.48.19.85 - - [12/Jul/2021:00:42:03 -0400] "GET /wp-content/plugins/contact-form-7/includes/css/styles.css HTTP/1.0" 200 8494 "-" "-"
114.119.128.212 - - [12/Jul/2021:00:42:02 -0400] "GET /index.php/category/trends/ HTTP/1.1" 200 17365 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
114.119.159.243 - - [12/Jul/2021:00:50:02 -0400] "GET /index.php/portfolio-items/luzerne-county-crime-updates?portfolioCats=48 HTTP/1.1" 404 88784 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
85.214.195.246 - - [12/Jul/2021:00:54:37 -0400] "POST /wp-login.php HTTP/1.1" 200 8868 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.117 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:01 -0400] "POST /wp-admin/admin-ajax.php HTTP/1.1" 200 6648 "https://www.nepadesigns.com/index.php/fusion_tb_section/custom-homepage-ptb/?fb-edit=1" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
216.49.30.192 - - [12/Jul/2021:00:56:02 -0400] "GET /wp-includes/images/spinner-2x.gif HTTP/1.1" 200 7866 "https://www.nepadesigns.com/wp-includes/css/wp-auth-check.min.css?ver=5.7.2" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
